Название товара;Артикул;Идентификатор товара в магазине;Остаток;Цена продажи;Старая цена;Закупочная цена
"Кружка ""Ноктюрн золотой"" в подарочной упаковке, 0.35 л";N51035-54605GB;75804356;999;4154;;2308
"Кружка ""Ноктюрн золотой"", 0.37 л";N51035-54527GBAL;75804355;999;5195;;2886
"Набор из 6 обеденных тарелок ""Ноктюрн золотой"", 27 см";N51035-51645GBAL;75804364;;25090;;14364
"Набор из 6 тарелок ""Ноктюрн золотой"", 23 см";N51035-51646GBAL;75804374;0;21175;;11764
"Столовый сервиз на 6 персон ""Ноктюрн золотой"", 23 пр.";N51035-52712;75804385;0;119747;;66526
"Чайный сервиз на 6 персон ""Ноктюрн золотой"", 17 пр.";N51035-52302AL;75804393;;64700;;37016
"Чашка с блюдцем ""Ноктюрн золотой"", 0.36 л";N51035-54204;75804394;5;5000;;2886
"Набор из 2 салатников ""Ожидание"" 17 см";N51651-54594AL;34804630;2;3290;;1902
"Набор из 6 десертных тарелок ""Ожидание"" 21 см";N51651-54596AL;34804631;;16800;;9612
"Набор из 6 обеденных тарелок ""Ожидание"" 27 см";N51651-54595AL;34804632;;15400;;8831
"Набор тарелок ""Ожидание"", 23см, 6шт.";N51651-54617GBAL;49655540;;19800;;11317
"Обеденный сервиз 26 предметов на 6 персон ""Ожидание""";N51651-52620AL;34804633;;82710;;47291
"Салатник ""Ожидание"" 23 см";N51651-54598AL;34804634;;6590;;3777
"Столовый сервиз на 6 персон ""Ожидание"", 26 пр.";N51651-52649AL;49655539;;111610;;63814
"Столовый сервиз на 6 персон ""Ожидание"", 28 пр.";N51651-52645AL;38172130;;137610;;78638
"Суповая чашка на блюдце ""Ожидание"" 0.29л";N51651-54515AL;34804635;2;3790;;2181
"Чайный сервиз 17 предметов на 6 персон ""Ожидание""";N51651-52455AL;34804636;2;37200;;21258
"Чашка с блюдцем ""Ожидание"" 0.23л";N51651-54526AL;34804637;;3073;;1707
"Кофейный набор на 6 персон ""Прикосновение"", 12 пр.";N51707-52677;63732303;;11890;;6818
"Кружка ""Прикосновение"", 0.35 л";N51707-2635;63732304;3;1500;;895
"Набор десертных тарелок ""Прикосновение"", 21 см, 6 шт.";N51707-54149;63732305;4;10717;;5954
"Набор обеденных тарелок ""Прикосновение"", 27 см, 6 шт.";N51707-51645;63732306;2;19300;;11057
"Набор салатников ""Прикосновение"", 14 см, 6 шт.";N51707-54634;63732307;;10790;;6174
"Салатник ""Прикосновение"", 23 см";N51707-3279;63732309;;5900;;3401
"Столовый сервиз на 6 персон ""Прикосновение"", 27 пр.";N51707-52678;63732308;3;72668;;40371
"Чайный сервиз на 6 персон ""Прикосновение"", 17 пр.";N51707-52676;63732310;4;31689;;17605
"Чашка с блюдцем ""Прикосновение"", 0.24 л";N51707-23077;63732311;4;2090;;1243
"Кружка ""Тиара Голд"" 0.37л";N51759-54527AL;34804638;;1900;;1106
"Набор из 2-х салатников ""Тиара Голд"" 13 см";N51759-54519AL;34804639;3;2600;;1511
"Набор из 6 десертных тарелок ""Тиара Голд"" 21 см";N51759-54149AL;34804640;;10800;;6207
"Набор из 6 обеденных тарелок ""Тиара Голд"" 27 см";N51759-51645AL;34804641;;16100;;9213
"Набор тарелок ""Тиара Голд"", 23см, 6шт.";N51759-51646GBAL;49655541;;20590;;11783
"Обеденный сервиз 28 предметов на 6 персон ""Тиара Голд""";N51759-52621AL;34804642;;139100;;79533
"Салатник ""Тиара Голд"" 22 см";N51759-54599AL;34804643;;4400;;2542
"Столовый сервиз на 6 персон ""Тиара Голд"", 27 пр.";N51759-52648AL;38172131;;127210;;72733
"Столовый сервиз на 6 персон ""Тиара Голд"", 27 пр.";N51759-52522;49655542;;134720;;76988
"Чайный сервиз 17 предметов на 6 персон ""Тиара Голд""";N51759-52302AL;34804644;;51890;;29706
"Чашка с блюдцем ""Тиара Голд"" 0.24л";N51759-54525AL;34804645;6;2890;;1675
"Блюдо овальное ""Шелк"", 22.5 см";N9072-9333AL;75804349;6;3010;;1672
"Блюдо овальное ""Шелк"", 30 см";N9072-1532/1AL;75804348;3;5834;;3241
"Кофейный сервиз из 16 предметов на 6 персон ""Шёлк""";N9072-52526AL;16720261;;35200;;20152
"Молочник (0,25 л.) ""Шёлк""";N9072-4283AL;16720811;7;2569;;1427
"Набор 6 кофейных пар 100 мл ""Шелк""";N9072-52361;19429122;;8300;;4744
"Набор 6 салатников 15 см ""Шелк""";N9072-51904;19429116;;3300;;1929
"Набор 6 тарелок 19 см ""Шелк""";N9072-51906;19429117;;3700;;2129
"Набор 6 тарелок суповых 23 см ""Шелк""";N9072-51649;19429115;;7490;;4320
"Набор 6 чайных пар 220 мл ""Шелк""";N9072-52359;19429120;;9490;;5469
"Набор для специй: солонка, перечница ""Шёлк""";N9072-59069AL;16720821;2;2059;;1144
