Артикул;Код сайта;Наименование;Цена опт;РРЦ;Материал;Наличие на складе;Остаток;Бренд;Страна производства;Страна ТМ;Категория;Категория 2;Размеры;Вид упаковки;Ссылка на фото;;Штрих-код;Вес;Серия;
010.060200.031;56645;Аэратор с подставкой (пробка-воронка) AdHoc, серия AEROVIN;1922;2621;Нержавеющая сталь, пластик, силикон;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Винные аксессуары;Для вина;5х5х17,5см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/14212.jpg;;4037571386796;0.00;Винные аксессуары;
010.070700.007;39188;Дозатор для масла/уксуса AdHoc;2203;3004;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Бутылки для масла;5,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7497.jpg;;4037571212361;0.31;Кухонные аксессуары;
010.070800.001;39189;Автоматическая мельница для соли/перца AdHoc, сталь;3198;4361;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;19 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7501.jpg;;4037571330614;0.46;Мельницы;
010.070800.002;39190;Автоматическая мельница для соли/перца AdHoc, серия TROPICA, черный;2195;2993;Нержавеющая сталь, пластик, акрил;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;21,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7520.jpg;;4037571321810;0.30;Мельницы;
010.070800.003;39191;Автоматическая мельница для соли/перца AdHoc, серия TROPICA, белый;2195;2993;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;21,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7496.jpg;;4037571321827;0.34;Мельницы;
010.070800.004;39192;Автоматическая мельница для соли/перца AdHoc, серия MILANO, белый;2938;4006;Пластик;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;20 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7528.jpg;;4037571321537;0.32;Мельницы;
010.070800.005;39193;Автоматическая мельница для соли/перца AdHoc, серия MILANO, черный;2938;4006;Пластик;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;20 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7529.jpg;;4037571321520;0.32;Мельницы;
010.070800.011;39199;Мельница для соли/перца AdHoc, сталь;1460;1991;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;13 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7661.jpg;;4037571320707;0.23;Мельницы;
010.070800.015;39203;Мельница для перца чили AdHoc;1832;2498;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;4,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7502.jpg;;4037571330843;0.18;Мельницы;
010.070800.018;39206;Мельница 2 в 1 для соли/перца   AdHoc, серия ACACIA;2938;4006;Дерево;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;O 5,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/8896.jpg;;4037571321124;0.33;Мельницы;
